y	yend	x	xend	key	clickSelects	showSelected2	PANEL
-25.2	1.2	0.0237343937624246	0.0237343937624246	1 0.0237343937624246	X1<0.023734	1	1
-25.2	1.2	0.0248533471021801	0.0248533471021801	1 0.0248533471021801	X1<0.024853	1	1
-25.2	1.2	0.030959413619712	0.030959413619712	1 0.030959413619712	X1<0.030959	1	1
-25.2	1.2	0.0395219983765855	0.0395219983765855	1 0.0395219983765855	X1<0.039522	1	1
-25.2	1.2	0.0435703630791977	0.0435703630791977	1 0.0435703630791977	X1<0.043570	1	1
-25.2	1.2	0.0550734286662191	0.0550734286662191	1 0.0550734286662191	X1<0.055073	1	1
-25.2	1.2	0.0655585838248953	0.0655585838248953	1 0.0655585838248953	X1<0.065559	1	1
-25.2	1.2	0.0704574675764889	0.0704574675764889	1 0.0704574675764889	X1<0.070457	1	1
-25.2	1.2	0.0763374969828874	0.0763374969828874	1 0.0763374969828874	X1<0.076337	1	1
-25.2	1.2	0.078479875694029	0.078479875694029	1 0.078479875694029	X1<0.078480	1	1
-25.2	1.2	0.0821269832085818	0.0821269832085818	1 0.0821269832085818	X1<0.082127	1	1
-25.2	1.2	0.0860745509853587	0.0860745509853587	1 0.0860745509853587	X1<0.086075	1	1
-25.2	1.2	0.0900922525906935	0.0900922525906935	1 0.0900922525906935	X1<0.090092	1	1
-25.2	1.2	0.0970493158092722	0.0970493158092722	1 0.0970493158092722	X1<0.097049	1	1
-25.2	1.2	0.103078606305644	0.103078606305644	1 0.103078606305644	X1<0.103079	1	1
-25.2	1.2	0.107819334021769	0.107819334021769	1 0.107819334021769	X1<0.107819	1	1
-25.2	1.2	0.11281948746182	0.11281948746182	1 0.11281948746182	X1<0.112819	1	1
-25.2	1.2	0.11519660113845	0.11519660113845	1 0.11519660113845	X1<0.115197	1	1
-25.2	1.2	0.116796790622175	0.116796790622175	1 0.116796790622175	X1<0.116797	1	1
-25.2	1.2	0.123480718466453	0.123480718466453	1 0.123480718466453	X1<0.123481	1	1
-25.2	1.2	0.128917979658581	0.128917979658581	1 0.128917979658581	X1<0.128918	1	1
-25.2	1.2	0.129889608710073	0.129889608710073	1 0.129889608710073	X1<0.129890	1	1
-25.2	1.2	0.131496121990494	0.131496121990494	1 0.131496121990494	X1<0.131496	1	1
-25.2	1.2	0.135558155016042	0.135558155016042	1 0.135558155016042	X1<0.135558	1	1
-25.2	1.2	0.143081043031998	0.143081043031998	1 0.143081043031998	X1<0.143081	1	1
-25.2	1.2	0.148332321085036	0.148332321085036	1 0.148332321085036	X1<0.148332	1	1
-25.2	1.2	0.149858307442628	0.149858307442628	1 0.149858307442628	X1<0.149858	1	1
-25.2	1.2	0.150485596386716	0.150485596386716	1 0.150485596386716	X1<0.150486	1	1
-25.2	1.2	0.156851156265475	0.156851156265475	1 0.156851156265475	X1<0.156851	1	1
-25.2	1.2	0.163921556901187	0.163921556901187	1 0.163921556901187	X1<0.163922	1	1
-25.2	1.2	0.164737868937664	0.164737868937664	1 0.164737868937664	X1<0.164738	1	1
-25.2	1.2	0.166442708112299	0.166442708112299	1 0.166442708112299	X1<0.166443	1	1
-25.2	1.2	0.170147194410674	0.170147194410674	1 0.170147194410674	X1<0.170147	1	1
-25.2	1.2	0.17518878984265	0.17518878984265	1 0.17518878984265	X1<0.175189	1	1
-25.2	1.2	0.178294185781851	0.178294185781851	1 0.178294185781851	X1<0.178294	1	1
-25.2	1.2	0.179636680521071	0.179636680521071	1 0.179636680521071	X1<0.179637	1	1
-25.2	1.2	0.181497157085687	0.181497157085687	1 0.181497157085687	X1<0.181497	1	1
-25.2	1.2	0.182773720822297	0.182773720822297	1 0.182773720822297	X1<0.182774	1	1
-25.2	1.2	0.18402334570419	0.18402334570419	1 0.18402334570419	X1<0.184023	1	1
-25.2	1.2	0.184777861577459	0.184777861577459	1 0.184777861577459	X1<0.184778	1	1
-25.2	1.2	0.185072884894907	0.185072884894907	1 0.185072884894907	X1<0.185073	1	1
-25.2	1.2	0.191020168247633	0.191020168247633	1 0.191020168247633	X1<0.191020	1	1
-25.2	1.2	0.198249337496236	0.198249337496236	1 0.198249337496236	X1<0.198249	1	1
-25.2	1.2	0.199849189142697	0.199849189142697	1 0.199849189142697	X1<0.199849	1	1
-25.2	1.2	0.20045562973246	0.20045562973246	1 0.20045562973246	X1<0.200456	1	1
-25.2	1.2	0.201244466705248	0.201244466705248	1 0.201244466705248	X1<0.201244	1	1
-25.2	1.2	0.203831824124791	0.203831824124791	1 0.203831824124791	X1<0.203832	1	1
-25.2	1.2	0.212392318877392	0.212392318877392	1 0.212392318877392	X1<0.212392	1	1
-25.2	1.2	0.222250327235088	0.222250327235088	1 0.222250327235088	X1<0.222250	1	1
-25.2	1.2	0.232360110268928	0.232360110268928	1 0.232360110268928	X1<0.232360	1	1
