fill	y	x	key	clickSelects	showSelected2	showSelected3	PANEL
transparent	-0.0261154492469302	0.0237343937624246	1 0.0237343937624246	X1<0.023734	1	sub-optimal	1
transparent	-0.0310884114450971	0.0248533471021801	1 0.0248533471021801	X1<0.024853	1	sub-optimal	1
transparent	-0.214752316397096	0.030959413619712	1 0.030959413619712	X1<0.030959	1	sub-optimal	1
transparent	-0.0418853225848466	0.0395219983765855	1 0.0395219983765855	X1<0.039522	1	sub-optimal	1
transparent	-0.000588040777103061	0.0435703630791977	1 0.0435703630791977	X1<0.043570	1	sub-optimal	1
transparent	-0.0529107948427168	0.0550734286662191	1 0.0550734286662191	X1<0.055073	1	sub-optimal	1
transparent	-0.212923142580337	0.0655585838248953	1 0.0655585838248953	X1<0.065559	1	sub-optimal	1
transparent	-0.0641721775090218	0.0704574675764889	1 0.0704574675764889	X1<0.070457	1	sub-optimal	1
transparent	-0.218461560485906	0.0763374969828874	1 0.0763374969828874	X1<0.076337	1	sub-optimal	1
transparent	-0.0756771389931146	0.078479875694029	1 0.078479875694029	X1<0.078480	1	sub-optimal	1
transparent	-0.226149526841567	0.0821269832085818	1 0.0821269832085818	X1<0.082127	1	sub-optimal	1
transparent	-0.442023342361011	0.0860745509853587	1 0.0860745509853587	X1<0.086075	1	sub-optimal	1
transparent	-0.713608458672638	0.0900922525906935	1 0.0900922525906935	X1<0.090092	1	sub-optimal	1
transparent	-0.442595044895285	0.0970493158092722	1 0.0970493158092722	X1<0.097049	1	sub-optimal	1
transparent	-0.701447113551978	0.103078606305644	1 0.103078606305644	X1<0.103079	1	sub-optimal	1
transparent	-0.446305854069948	0.107819334021769	1 0.107819334021769	X1<0.107819	1	sub-optimal	1
transparent	-0.695093981268002	0.11281948746182	1 0.11281948746182	X1<0.112819	1	sub-optimal	1
transparent	-0.986909343570403	0.11519660113845	1 0.11519660113845	X1<0.115197	1	sub-optimal	1
transparent	-0.693121769262717	0.116796790622175	1 0.116796790622175	X1<0.116797	1	sub-optimal	1
transparent	-0.97469369277664	0.123480718466453	1 0.123480718466453	X1<0.123481	1	sub-optimal	1
transparent	-1.29355274490374	0.128917979658581	1 0.128917979658581	X1<0.128918	1	sub-optimal	1
transparent	-1.64673667252575	0.129889608710073	1 0.129889608710073	X1<0.129890	1	sub-optimal	1
transparent	-1.2766711295366	0.131496121990494	1 0.131496121990494	X1<0.131496	1	sub-optimal	1
transparent	-1.61886566279276	0.135558155016042	1 0.135558155016042	X1<0.135558	1	sub-optimal	1
transparent	-1.99208088654854	0.143081043031998	1 0.143081043031998	X1<0.143081	1	sub-optimal	1
transparent	-2.39443203251076	0.148332321085036	1 0.148332321085036	X1<0.148332	1	sub-optimal	1
transparent	-1.96158116294657	0.149858307442628	1 0.149858307442628	X1<0.149858	1	sub-optimal	1
transparent	-2.35327043508593	0.150485596386716	1 0.150485596386716	X1<0.150486	1	sub-optimal	1
transparent	-2.77205925730058	0.156851156265475	1 0.156851156265475	X1<0.156851	1	sub-optimal	1
transparent	-2.3211586098129	0.163921556901187	1 0.163921556901187	X1<0.163922	1	sub-optimal	1
transparent	-1.92212640192108	0.164737868937664	1 0.164737868937664	X1<0.164738	1	sub-optimal	1
transparent	-2.29667371651331	0.166442708112299	1 0.166442708112299	X1<0.166443	1	sub-optimal	1
transparent	-1.91103288782185	0.170147194410674	1 0.170147194410674	X1<0.170147	1	sub-optimal	1
transparent	-1.56946938054389	0.17518878984265	1 0.17518878984265	X1<0.175189	1	sub-optimal	1
transparent	-1.90465733594496	0.178294185781851	1 0.178294185781851	X1<0.178294	1	sub-optimal	1
transparent	-1.57192631852158	0.179636680521071	1 0.179636680521071	X1<0.179637	1	sub-optimal	1
transparent	-1.2775530510321	0.181497157085687	1 0.181497157085687	X1<0.181497	1	sub-optimal	1
transparent	-1.57736918929291	0.182773720822297	1 0.182773720822297	X1<0.182774	1	sub-optimal	1
transparent	-1.28862692750064	0.18402334570419	1 0.18402334570419	X1<0.184023	1	sub-optimal	1
transparent	-1.03390242228485	0.184777861577459	1 0.184777861577459	X1<0.184778	1	sub-optimal	1
transparent	-0.811170581017194	0.185072884894907	1 0.185072884894907	X1<0.185073	1	sub-optimal	1
transparent	-1.0502339957942	0.191020168247633	1 0.191020168247633	X1<0.191020	1	sub-optimal	1
transparent	-1.31645891123216	0.198249337496236	1 0.198249337496236	X1<0.198249	1	sub-optimal	1
transparent	-1.60896629364069	0.199849189142697	1 0.199849189142697	X1<0.199849	1	sub-optimal	1
transparent	-1.92697903229711	0.20045562973246	1 0.20045562973246	X1<0.200456	1	sub-optimal	1
transparent	-1.62395016253853	0.201244466705248	1 0.201244466705248	X1<0.201244	1	sub-optimal	1
transparent	-1.94011432004854	0.203831824124791	1 0.203831824124791	X1<0.203832	1	sub-optimal	1
transparent	-2.28084169055026	0.212392318877392	1 0.212392318877392	X1<0.212392	1	sub-optimal	1
transparent	-1.95566954049096	0.222250327235088	1 0.222250327235088	X1<0.222250	1	sub-optimal	1
transparent	-1.65981204817282	0.232360110268928	1 0.232360110268928	X1<0.232360	1	sub-optimal	1
transparent	-1.39189251052113	0.23993882862851	1 0.23993882862851	X1<0.239939	1	sub-optimal	1
transparent	-1.68051787546415	0.243136907112785	1 0.243136907112785	X1<0.243137	1	sub-optimal	1
transparent	-1.99355427364708	0.251021129544824	1 0.251021129544824	X1<0.251021	1	sub-optimal	1
transparent	-1.70299054432681	0.258525689016096	1 0.258525689016096	X1<0.258526	1	sub-optimal	1
transparent	-1.43851833947659	0.267083358601667	1 0.267083358601667	X1<0.267083	1	sub-optimal	1
transparent	-1.72718746828676	0.274633940192871	1 0.274633940192871	X1<0.274634	1	sub-optimal	1
transparent	-1.46395667851724	0.275551112601534	1 0.275551112601534	X1<0.275551	1	sub-optimal	1
transparent	-1.22505471126627	0.279929986572824	1 0.279929986572824	X1<0.279930	1	sub-optimal	1
transparent	-1.49080125779116	0.28451476036571	1 0.28451476036571	X1<0.284515	1	sub-optimal	1
transparent	-1.78064888558629	0.285152392461896	1 0.285152392461896	X1<0.285152	1	sub-optimal	1
transparent	-1.51905467400385	0.286204032832757	1 0.286204032832757	X1<0.286204	1	sub-optimal	1
transparent	-1.28050759940109	0.287516793585382	1 0.287516793585382	X1<0.287517	1	sub-optimal	1
transparent	-1.06426790132451	0.289734941557981	1 0.289734941557981	X1<0.289735	1	sub-optimal	1
transparent	-1.31004267961166	0.291737564140931	1 0.291737564140931	X1<0.291738	1	sub-optimal	1
transparent	-1.09315189617425	0.294476487673819	1 0.294476487673819	X1<0.294476	1	sub-optimal	1
transparent	-0.897429237638249	0.296949366573244	1 0.296949366573244	X1<0.296949	1	sub-optimal	1
transparent	-1.123117194938	0.298555508372374	1 0.298555508372374	X1<0.298556	1	sub-optimal	1
transparent	-1.37286752639827	0.302601688425057	1 0.302601688425057	X1<0.302602	1	sub-optimal	1
transparent	-1.64646672535153	0.307742096367292	1 0.307742096367292	X1<0.307742	1	sub-optimal	1
transparent	-1.4062277050725	0.311019049375318	1 0.311019049375318	X1<0.311019	1	sub-optimal	1
transparent	-1.18644721423212	0.313761122408323	1 0.313761122408323	X1<0.313761	1	sub-optimal	1
transparent	-1.44094186342525	0.319793840171769	1 0.319793840171769	X1<0.319794	1	sub-optimal	1
transparent	-1.21989995681028	0.329834020347334	1 0.329834020347334	X1<0.329834	1	sub-optimal	1
transparent	-1.47705811743842	0.33800692204386	1 0.33800692204386	X1<0.338007	1	sub-optimal	1
transparent	-1.75800084376644	0.343670244561508	1 0.343670244561508	X1<0.343670	1	sub-optimal	1
transparent	-1.51462996520053	0.348180329776369	1 0.348180329776369	X1<0.348180	1	sub-optimal	1
transparent	-1.29063349444797	0.34924258524552	1 0.34924258524552	X1<0.349243	1	sub-optimal	1
transparent	-1.55371650428603	0.350019667414017	1 0.350019667414017	X1<0.350020	1	sub-optimal	1
transparent	-1.84066552415405	0.353852582513355	1 0.353852582513355	X1<0.353853	1	sub-optimal	1
transparent	-2.15148901985944	0.358912586583756	1 0.358912586583756	X1<0.358913	1	sub-optimal	1
transparent	-1.88468036660839	0.367060573771596	1 0.367060573771596	X1<0.367061	1	sub-optimal	1
transparent	-1.63669977935984	0.376678721862845	1 0.376678721862845	X1<0.376679	1	sub-optimal	1
transparent	-1.40720490447995	0.383774210931733	1 0.383774210931733	X1<0.383774	1	sub-optimal	1
transparent	-1.19588403693163	0.387746866676025	1 0.387746866676025	X1<0.387747	1	sub-optimal	1
transparent	-1.0024544363645	0.388044474180788	1 0.388044474180788	X1<0.388044	1	sub-optimal	1
transparent	-1.23545717287746	0.391096187522635	1 0.391096187522635	X1<0.391096	1	sub-optimal	1
transparent	-1.49272760805118	0.395532014663331	1 0.395532014663331	X1<0.395532	1	sub-optimal	1
transparent	-1.77437048241805	0.398266981705092	1 0.398266981705092	X1<0.398267	1	sub-optimal	1
transparent	-1.53808166640198	0.400309294695035	1 0.400309294695035	X1<0.400309	1	sub-optimal	1
transparent	-1.31930329845582	0.401871886919253	1 0.401871886919253	X1<0.401872	1	sub-optimal	1
transparent	-1.11781880864589	0.40396245860029	1 0.40396245860029	X1<0.403962	1	sub-optimal	1
transparent	-0.933435738957343	0.405984268174507	1 0.405984268174507	X1<0.405984	1	sub-optimal	1
transparent	-1.15934177890884	0.4168148789322	1 0.4168148789322	X1<0.416815	1	sub-optimal	1
transparent	-0.971872542295984	0.427291237749159	1 0.427291237749159	X1<0.427291	1	sub-optimal	1
transparent	-0.801198725456743	0.432563537382521	1 0.432563537382521	X1<0.432564	1	sub-optimal	1
transparent	-0.647191346774804	0.438759828102775	1 0.438759828102775	X1<0.438760	1	sub-optimal	1
transparent	-0.509742698649944	0.441852807882242	1 0.441852807882242	X1<0.441853	1	sub-optimal	1
transparent	-0.388765905135131	0.444241595338099	1 0.444241595338099	X1<0.444242	1	sub-optimal	1
transparent	-0.284194578173555	0.4490931147011	1 0.4490931147011	X1<0.449093	1	sub-optimal	1
transparent	-0.1959825689718	0.457439052755944	1 0.457439052755944	X1<0.457439	1	sub-optimal	1
transparent	-0.124103812062856	0.462654642178677	1 0.462654642178677	X1<0.462655	1	sub-optimal	1
transparent	-0.214670865062146	0.465913347317837	1 0.465913347317837	X1<0.465913	1	sub-optimal	1
transparent	-0.139046712837484	0.473298299242742	1 0.473298299242742	X1<0.473298	1	sub-optimal	1
transparent	-0.0797375386815418	0.483675657189451	1 0.483675657189451	X1<0.483676	1	sub-optimal	1
transparent	-0.0367733820504839	0.495371556142345	1 0.495371556142345	X1<0.495372	1	sub-optimal	1
transparent	-0.0102046165261527	0.502510058227927	1 0.502510058227926	X1<0.502510	1	sub-optimal	1
transparent	-0.000102248845593067	0.50866599928122	1 0.50866599928122	X1<0.508666	1	sub-optimal	1
transparent	-0.00655831592413847	0.523912533186376	1 0.523912533186376	X1<0.523913	1	sub-optimal	1
transparent	-0.0296863842785058	0.536206377553754	1 0.536206377553754	X1<0.536206	1	sub-optimal	1
transparent	-0.0696221574256697	0.541436879779212	1 0.541436879779212	X1<0.541437	1	sub-optimal	1
transparent	-0.126524198112605	0.546994024771266	1 0.546994024771266	X1<0.546994	1	sub-optimal	1
transparent	-0.200574773653358	0.5513289043447	1 0.5513289043447	X1<0.551329	1	sub-optimal	1
