x	y	label	key	showSelected1	group
0	0.05	N=200	1	0	-1
0	0.05	N=200	1	1	-1
-0.5	-0.95	N=137	2	1	-1
0.5	-0.95	N=63	3	1	-1
0	0.05	N=200	1	2	-1
-0.5	-0.95	N=137	2	2	-1
0.5	-0.95	N=63	3	2	-1
0	-1.95	N=30	4	2	-1
1	-1.95	N=33	5	2	-1
0	0.05	N=200	1	3	-1
-0.5	-0.95	N=137	2	3	-1
0.5	-0.95	N=63	3	3	-1
0.5	-1.95	N=30	4	3	-1
1.5	-1.95	N=33	5	3	-1
-1.5	-1.95	N=92	6	3	-1
-0.5	-1.95	N=45	7	3	-1
0	0.05	N=200	1	4	-1
-0.5	-0.95	N=137	2	4	-1
0.5	-0.95	N=63	3	4	-1
0.5	-1.95	N=30	4	4	-1
1.5	-1.95	N=33	5	4	-1
-1.5	-1.95	N=92	6	4	-1
-0.5	-1.95	N=45	7	4	-1
-2	-2.95	N=43	8	4	-1
-1	-2.95	N=49	9	4	-1
0	0.05	N=200	1	5	-1
-0.5	-0.95	N=137	2	5	-1
0.5	-0.95	N=63	3	5	-1
0.5	-1.95	N=30	4	5	-1
1.5	-1.95	N=33	5	5	-1
-1.5	-1.95	N=92	6	5	-1
-0.5	-1.95	N=45	7	5	-1
-2.5	-2.95	N=43	8	5	-1
-1.5	-2.95	N=49	9	5	-1
-0.5	-2.95	N=27	10	5	-1
0.5	-2.95	N=18	11	5	-1
0	0.05	N=200	1	6	-1
-0.5	-0.95	N=137	2	6	-1
0.5	-0.95	N=63	3	6	-1
0.5	-1.95	N=30	4	6	-1
1.5	-1.95	N=33	5	6	-1
-1.5	-1.95	N=92	6	6	-1
-0.5	-1.95	N=45	7	6	-1
-2.5	-2.95	N=43	8	6	-1
-1.5	-2.95	N=49	9	6	-1
-0.5	-2.95	N=27	10	6	-1
0.5	-2.95	N=18	11	6	-1
-2	-3.95	N=16	12	6	-1
-1	-3.95	N=33	13	6	-1
0	0.05	N=200	1	7	-1
-0.5	-0.95	N=137	2	7	-1
0.5	-0.95	N=63	3	7	-1
0.5	-1.95	N=30	4	7	-1
1.5	-1.95	N=33	5	7	-1
-1.5	-1.95	N=92	6	7	-1
-0.5	-1.95	N=45	7	7	-1
-2.5	-2.95	N=43	8	7	-1
-1.5	-2.95	N=49	9	7	-1
-0.5	-2.95	N=27	10	7	-1
0.5	-2.95	N=18	11	7	-1
-2	-3.95	N=16	12	7	-1
-1	-3.95	N=33	13	7	-1
-1.5	-4.95	N=17	14	7	-1
-0.5	-4.95	N=16	15	7	-1
0	0.05	N=200	1	8	-1
-0.5	-0.95	N=137	2	8	-1
0.5	-0.95	N=63	3	8	-1
0.5	-1.95	N=30	4	8	-1
1.5	-1.95	N=33	5	8	-1
-1.5	-1.95	N=92	6	8	-1
-0.5	-1.95	N=45	7	8	-1
-2.5	-2.95	N=43	8	8	-1
-1.5	-2.95	N=49	9	8	-1
-0.5	-2.95	N=27	10	8	-1
0.5	-2.95	N=18	11	8	-1
-2	-3.95	N=16	12	8	-1
-1	-3.95	N=33	13	8	-1
-1.5	-4.95	N=17	14	8	-1
-0.5	-4.95	N=16	15	8	-1
-1	-5.95	N=8	16	8	-1
0	-5.95	N=8	17	8	-1
0	0.05	N=200	1	9	-1
-0.5	-0.95	N=137	2	9	-1
0.5	-0.95	N=63	3	9	-1
0.5	-1.95	N=30	4	9	-1
1.5	-1.95	N=33	5	9	-1
-1.5	-1.95	N=92	6	9	-1
-0.5	-1.95	N=45	7	9	-1
-2.5	-2.95	N=43	8	9	-1
-1.5	-2.95	N=49	9	9	-1
-0.5	-2.95	N=27	10	9	-1
0.5	-2.95	N=18	11	9	-1
-1.5	-3.95	N=16	12	9	-1
-0.5	-3.95	N=33	13	9	-1
-1	-4.95	N=17	14	9	-1
0	-4.95	N=16	15	9	-1
-0.5	-5.95	N=8	16	9	-1
0.5	-5.95	N=8	17	9	-1
-3.5	-3.95	N=29	18	9	-1
-2.5	-3.95	N=14	19	9	-1
